ID_encrypt,Start_Date,End_Date,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTh,2ndchoice_elective_TTh,Quarter
0x01F23E5D539EBEDB3889E5DFA28F27FFC06F512143EC76A6A4F7406F2AFEA95D77D3D834FB2916803826EF5252C6828C6C41DC219A414ABC39499147F38A30B721,10/24/2016 13:03,10/24/2016 13:06,English Through Movies,English Through Movies,American Idioms and Slang,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01D4AD466E2430EC6A7900F248A41EB840DD7BAEA7FD8867B61A2489A73745ABB382973827062DFF4227E9A90E676FE42AF62FEF81A90D2F45A66C8CAF6C3621C7,10/24/2016 12:21,10/24/2016 12:40,Business English,English Through Movies,TOEFL Preparation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01F6751A2B573DED5D272D982C65FF5FDB843B9A3EC6F524622F4BFCEB4CF35625F94123EB60B616F32404594DDC63CCB9F24C72693D6B0E0647B08A0BBF0D4916,10/24/2016 11:04,10/24/2016 11:07,Active Listening and Speaking,Public Speaking,TOEFL Preparation,English Through Drama,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01269AB38BB7502FA916A6013367FBF601709C783F2E7DA23FE5F313E516D75E5E6054FCC41BB18B520FF008178B422810C8A97D2C4A09BC10F6590D13FA1937F7,10/24/2016 10:50,10/24/2016 10:51,Public Speaking,Public Speaking,TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x010EF27EFF22893F3EF9F1403195771185DE78E8CCF25E494156D4B1C0DE818C43821A59724209032DA2B6D946E03AB159DDB8CAEE480CBD3E11CA430668A3A61D,10/24/2016 10:49,10/24/2016 10:52,Active Listening and Speaking,Grammar In Use,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x0142FAB69CD12013EC894A9072302F048483543E181939DBC7C8570490B698DA06F36705F3A9EADF468ED4EE771AA65E261FE10D02B7F565D52561349EC2E5571E,10/24/2016 10:01,10/24/2016 10:05,English Through Movies,College Workshop,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x012F54197D4EEE73B0AA567F014B457CE1CECF534F98C9415F6D0A9DAAA56F506F83A3DD421E901EFB0A29CB6FD656F62EE84C0D7B73671D0CB77FFC12DA68CE0C,10/24/2016 9:56,10/24/2016 10:04,College Workshop,English Through Movies,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01B16A71EC6B36FE3D1C0E5501EFF1E85474B17288678F5D3846E8A53865E55563884F0FA33CB753E1016D8AAF8419CE87ECB2260CC61E8BBDA3591BCAAE8287B6,10/24/2016 8:57,10/24/2016 12:45,College Workshop,Active Listening and Speaking,NULL,NULL,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01392869F791A6C153EE10783450A4C920C5E7D1DBFA16570DEFBD4EA1E34A0FEDDF4471F5E5DFA99D9E5993179CE4D26C579AB3E70042A98F32BEBA7FF3C32363,10/24/2016 8:44,10/25/2016 13:09,Active Listening and Speaking,Business English,TOEFL Preparation,Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01600315C9FB3AA74E488328DE554C677BBC78308EC608A8D61BF64A0ADF4A6EDA7F39C0926DAAA35BA98566C4F0922FE82481EBECD0634B1E58ACE00B5F431734,10/24/2016 8:25,10/24/2016 13:58,Active Listening and Speaking,English Through Movies,American Pronunciation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01D5EE0150B60E471FDB5E0E4FF446C50C9CD915A50571704A6C3E3949172830C3E0AA299F7B3FA8D26D1863B57EEFBB51CBE03E19B77B38FC88CF183EC40BA7BE,10/23/2016 21:31,10/23/2016 21:33,English Through Movies,Public Speaking,American Pronunciation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x0109F3FD0977A9AF8A0EC4FCA8708F1A23B82ACDF291D1B3BA2074ABBF8FC61F506AC35C884C2DDA9FCE38CDFF1B365280A70CA24E8862A0E2D6BBB2371252625B,10/23/2016 21:25,10/23/2016 21:33,English Through Movies,Business English,TOEFL Preparation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x019638C20533447A6D57544AEF6A34C761E19F77AD8BF99C820AD3CEF4D2799865E35C708BBC7F3ECB42EBE0C91D2D9C5C587EBA1904386661DE2A7408B3B4DF01,10/23/2016 21:19,10/23/2016 21:43,English Through Movies,Business English,American Idioms and Slang,American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x017812D48571850342C7BBF34B606FC19E2A24A1BA1A1A775177F956894B09AEC40DAF51F6A90BA2070F0E7670AFC6D7DABF952E2CFE97796E1A9A6828580F9DDB,10/23/2016 19:45,10/23/2016 22:38,Public Speaking,Active Listening and Speaking,English Through Drama,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x011CC639D60E5737B5DAA80E31B0177151E0B7262CC310E938572130B0BA0E9398B6BF9C54D952BB5DDB54532A2CB60D8EFB240E9E8523E75C2542B8B417C603C0,10/23/2016 13:12,10/23/2016 13:21,Business English,English Through Movies,TOEFL Preparation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01FEA38494BBF29AB746601E06F82E5F066D4CF748510370DE91DD3FB0E738A1FEEEDD744EF0C84F9BF3BD90AD1B8C4C174B46667B81F68BD4DC128B7978D40DFD,10/23/2016 12:52,10/23/2016 12:55,Business English,Active Listening and Speaking,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x0100A9F38CF183CDB3639AC87506A6F6578F61600FE574D16A04650F05F83E61CD5FF9AE54D535C8C5E0E6BAF5100C11A723B833E3AC7E145FE3C8E153718F164C,10/23/2016 12:32,10/23/2016 12:42,English Through Movies,Business English,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x0165BCCE9A553481DDF8A57200C7A1E6DBE1D09E7D0437F780623AC6F0CAB41B9BC24FF7DFBF7A5C4E87DCD72E04066C40D5CC4506A7EECC56DFF1BD54ACC2D72D,10/23/2016 12:01,10/24/2016 15:59,English Through Movies,Business English,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01DE4A87B267E6F9C58164C9D3BAD360C27B33794F01244B5B660A0CB268E84A98CC8A5F2CBA3A78CA93C209B86D79624EE403A63211A1FA46B9EFECB59944EB2D,10/23/2016 10:24,10/23/2016 10:36,Grammar In Use,Active Listening and Speaking,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01015A59498B988D32E728341DC9C80329D7E885EBE921944F4E33A49CCEC625617E4422ED87B23620B24D5218E3AC06B46B7960500FC3C005BFDEB6B221A60279,10/22/2016 22:01,10/22/2016 22:03,Active Listening and Speaking,English Through Movies,TOEFL Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x0114B163F071B432683A54694487777A05A2448A288817F97804DA2FEE42C3B09B9F5560A52B09EC63CF09B991E35B12A8D3849C6DFA05BAB8363798246FB97D30,10/22/2016 15:14,10/22/2016 15:17,Grammar In Use,English Through Movies,American Idioms and Slang,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01065D951136A566CA01F72370F74E0DF57631CA8E708785D5ABFAE02270555597D9E316E2FF701B22984211F3A9A4BC1AE31ECE8CFB871377D3210A216229162D,10/22/2016 14:48,10/22/2016 15:13,Grammar In Use,Business English,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
