ID_encrypt,Start_Date,End_Date,Do_you_plan_to_study_in_the_Academic_Program_next_session_,4_Day_Test_Prep,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTH,2ndchoice_elective_TTH,Quarter
0x018E77C4A6A8176E1C5F14EC1753AC2FE57ACEBB01F397015C8BCAE95954447B50B98093DBCDE6F4BEF028C61D810C16B7C1F550BE324E7A25CB397063E2CDB961,9/19/2016 15:33,9/19/2016 15:36,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Public Speaking,English Through Movies,Word Play (Academic Vocabulary Development),Community Service,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01868D7AAB61CDF95BE649D28D49B21C81D21A38879B890E1A0A1ADBCC2F504ECF5C9863BB25C9E07CD03A49FD406239EE5F93838120B9E593EF4342B657C27265,9/16/2016 15:35,9/16/2016 15:35,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x0153E4073B05384CA117DB8CC2186C4DDBF05F2360DD4A0815E5618BA25CC93C234033FD1FAF02A96FC9C46225AAF9AA38A90E96E8C9D357FCD16F737DC57271E0,9/15/2016 4:22,9/15/2016 4:22,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x018DEDAE28AE9E6343D9069F66E28365DB5D692AB0BDA4AACF6F8B88F9C3CF4B289D84379B89DB697B6512DF4092B16FF035D717F2BD08EA0E4D9C372791BFB376,9/14/2016 23:37,9/16/2016 14:15,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,College Workshop,English Through Movies,American Pronunciation,Current Events,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x019126016C2DA38F3145AFA2947D88B1CC99D797F3926753189406B1194DBEC2007D86C76D4E79388CF4CBE9778B4EFB5EB961AF112C84B9A336232A521D6997AC,9/13/2016 16:12,9/13/2016 16:12,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01323EE92A6704AA6294706208BB208A4F22C233AF6A723C7BF9FA536A7BC49E64CBE68D561A3BECDB5440162DF7C1DBE3CAE3746AECCE2CB02A7BF8F2CFF2B82E,9/13/2016 15:15,9/13/2016 15:23,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Public Speaking,College Workshop,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01A6BC4AECEC9DA7E80A71E6F4B9F750EC498795FE683558C242F04BFED3221B9D5EFF5F732A512054BF304A3B2796D1B38CC50D459FB6D3AF7538B2DDB8511358,9/13/2016 12:08,9/13/2016 12:08,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x013D53BAF02AC3C6407F036416579CE7D8672742773730F3C959C490921D29B2D80480613373CA7921DBE7B27BF3C2733568DAD55DDE4A3D40050187911595C2DF,9/9/2016 14:40,9/9/2016 14:42,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,College Workshop,Active Listening and Speaking,IELTS Preparation,Current Events,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01412E2BF2609E77435E32A83857B180FED5481CAFE7BDCE04CF642480DBF7D837F3323A8297885B90AF39969FCDFBD08DDCCA336BAEE144D82983862F72F0B13B,9/9/2016 10:17,9/16/2016 0:02,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Grammar In Use,Grammar In Use,TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x011E6FE679F1874C48F03974D1B4B07D54214CE5E0E4A3A41BA2F422D3D7F08BE89FC2E1F89E45EDA60A2FDDAD4920D9FA2A77A33D03E40386A0567F7351B106FE,9/6/2016 21:50,9/6/2016 21:50,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
