ID_encrypt,Start_Date,End_Date,1st_choice_elective,2ndchoice_elective,Quarter
0x01494F7A159312FC66926B767871AB13D25A2992993AB20419C0CF0E1EEB95F1F9DB0C1649E67FF3A6A3736953D7211F81B97EF3827D2CE184523B36F012B605B1,10/27/2016 11:57,10/27/2016 11:58,American Idioms and Slang,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01D3F1EAA81EC55AE285DB917AA4005BDC5B788B7BE6FD307CBD8D52FA853F68049769773F1D2403967EEAA2A3CA0747BE432D7FC937BA68C4BD55DC16BB4E129B,10/27/2016 10:54,10/27/2016 11:00,American Pronunciation,American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01770E0D3DA0479D853E6492211A346749D9AC59E3C5CC72F66C730FFDE98AFF367CA545BED31AFFF4440EF0000BC850A0A458C6A64C7047BE3586141928B31BF2,10/26/2016 19:31,10/26/2016 19:31,NULL,NULL,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x017972AEF7EC93C47E29218A15AC2B404CBF2BB3090E1D02019CD4C3B3E43E03D072E2EC95795EBF04695F31B93D9434F2C7F76A7F263DAFAD8C7E34F7DB6C4277,10/26/2016 17:25,10/26/2016 17:33,American Idioms and Slang,English Through Drama,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01F44A7C494347C0CE76ABFC33EDE22B4B19813447E1ADFCD143EA1C2F9A5BC7188FE5EA6A1DD654594088C82E9C40B51B556259578FF247CE8B62287016C84AE8,10/26/2016 8:32,10/26/2016 8:33,IELTS Preparation,Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0113DAEB746373C0BCCE382FADADAB1CA660E747B5B40BC59B2C476CF8D5E042A359F15E9A9E9F8E4EB528EF792908A328A75A3928904F2B1F26CB3075CF131D6D,10/25/2016 18:09,10/25/2016 18:11,Word Play (Academic Vocabulary Development),American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01B228910DCF731574BB061C53CA543C954508DAB4002CA9396E008D8805687EFF3A7ECDEF6AEAE99482797F134C262EDFC8A0A71A95FDA81D655C20F7618E756A,10/25/2016 14:53,10/25/2016 15:10,American Pronunciation,English Through Drama,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x018CF9AB5BF9B23F6F425DCF0B9F309A43F1F88F6B9C0A32DD7B5BDEC55738C540C3E470887AC92EF7C9442FCFC16B3F1143A48E10075C0F90E8FF0394B7D58A96,10/25/2016 13:57,10/25/2016 13:57,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0103E7D7FC389C1E614EB0AB80D03D212F9DD17E3C961400E32097AE1898B16E82BDB2703E24782674CA087E62559F80B375568633053EA9DE80FC0550754E1430,10/25/2016 13:53,10/26/2016 14:21,Current Events,Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01EE6F7DD3524BDB64E1AF5A8DA805AAD4660472A06D7CC5DDB42DDDDB8FCF547E16FCCDE904610598FB2F0C82ABC1D5235328E8DCD5362DF71D04C2119E6F6E71,10/25/2016 13:53,10/25/2016 13:54,IELTS Preparation,American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01DE3A00B157AC4459F3FD88ACA45CC59829F8099DBBC6C46AB213568FEA88A5C3FD11FB03C64C9F3D3AE7A1D764F86BCD2D95391756DC564C58CC022BB58DFFC3,10/25/2016 12:28,10/25/2016 12:29,IELTS Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01BE992F11BFCBBD08E1E2A7B2BD5EA74B61D98EE6FB5FB58707E571B4B1F7145291FFACFE3F509A4184A694E1BCE62B07939B89BC9DF78D8A3E8B9C5D624B5B49,10/25/2016 11:58,10/25/2016 12:00,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0187EFE9B885AAB4150A7DDFC5609724A3DF099D3F1BB3F68138D53C2B872302D0B4B75ECA9D9EC32E88DAF70404FAC6BAA678572FDE1AA476ABCBA421267CA27F,10/25/2016 7:36,10/25/2016 7:37,TOEFL Preparation,English Through Drama,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01DD917C62968FE9845D34D6FB1E8D62258DBF52F6C4D9DB7B71B194952EA7A334632558A33563938B5BAE1441DC80E08A2D6B61C5F7F8217C21AC1DBDCD331C91,10/24/2016 23:01,10/24/2016 23:02,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01B1262D7975342D236A09E9A44E34121B5CB891298E941B87D01A4E7A87495DEB319576082794B1E7844573DB02D2E8A9CB17FB05AB5BD238DF40A10C248E6083,10/24/2016 22:16,10/24/2016 22:17,TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01BB668E7221CC38C8DC129A2E31D3565AA88C5B4DD7062DF892422F22CB50D3C85187623A51E957480FCE5F4E4EB28C9038117CCD56B60AEF7CB569226AF84CDA,10/24/2016 15:45,10/24/2016 15:47,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01C3E7C1145AD4BBFD3E571A5B2458DDC9A1C6A735A3AF0D7A762EA32B1A8A70AA17D4CCC7E01660C9443E526A5BE5324DA79CC10A85E81BF8E7896E58876B9921,10/24/2016 15:14,10/24/2016 15:15,Current Events,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01360E0C1323330420155639020F24AC1F7A7FF72258912F35020F9B2534DBD2E8B85BB67269E6E1CD33DB38619A635B027C6E2181801E5840DA29C0AC66E44FBE,10/24/2016 14:02,10/24/2016 14:03,American Pronunciation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
