Custom_Data_1,Start_Date,End_Date,Do_you_plan_to_study_in_the_Academic_Program_next_session_,1st_choice_elective,2ndchoice_elective,Quarter
0x0109932BDF4DD1E53A3FE04E60BC43013CB8996C7DD8B5A39C611F444C6828620E1DE2218FD5491195B5A2524DB90350E0635D7C748AF568027E115A0F299C299F,9/13/2016 12:35,9/13/2016 12:35,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x0175271A0916535468577B30FFA43C26E3A3079B8FE57D2AE9F0821554842CE35517701D797A5901892DF7A43A1258362F6E9642D4B9D5362860424A0369D6EB2F,9/13/2016 12:14,9/13/2016 12:14,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01D0ADFBA790DE696C0FFC8D08611F62049F49E1FB397E1F523F76C6BD18682CFC5880911DEFFAD56D66BE36282845331E7035BEF34E02E48FBB3C8672C5239B11,9/11/2016 8:58,9/11/2016 9:01,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",American Idioms and Slang,American Pronunciation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01FA21183E51D0B6451D4A0E3981A3F216E6FB75C8952E10B8C4839631E4E5EA6EEBF617F1855DAC748D89C6149022BC3D568B06C4079BBA6631B7C17E9B4F9F29,9/7/2016 16:14,9/22/2016 9:34,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01DE35A22964171ACBE4C1B6779F23D50F99BE593AB398FE4D18B5A5C243C7B7B6F514E30BBC625C80B09B26D0108754FBF44DFA85C3348B91C66DAB80007CA83C,9/7/2016 10:19,9/7/2016 10:20,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01E0A96D7066E04E29376B0FC09CB85BA7C8A415843048FF7BC83E75FB561107872A9EC2974CD96D1E6646E137B6E330CB2D687C2864CCB1F93416940FA60FD18F,9/6/2016 18:30,9/6/2016 18:32,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01E21F567C1C3BA2703FA5FE7C1CB29C0EC5A143A2E47B73F77066030ADF3A773794A6C71047A4A94E60632E9EE1521BEEFB3A0FD322426ACC55D33FCBA7D518CE,9/6/2016 12:43,9/6/2016 12:43,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01CA3EF946DB457043D9793435C8B110F55FA39B28B513EF7FC4243BAB3856BDE3E91692582A64E6915A54D135A658AE5CFE9A049685A5C512ED23978D2045C6CA,9/5/2016 21:25,9/5/2016 21:30,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",Word Play (Academic Vocabulary Development),TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01BFAE91154F6C235BDD449DA08084E3B087F99437B310B9BCC84907A64D59858D06DCB778100EA0490DDC04B99A4CA28B77176144D55CC1F399373856ECC57DA1,9/4/2016 17:57,9/4/2016 17:59,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x0133141BC459986FF37F249CE659F8AC3C5A4FAF0B11515D33A20A72CA655A5AA29C8A3C14EC712A441D1199184946DE6661EC2764B7FEA71B0D3A03A2B7079365,9/3/2016 19:50,9/3/2016 19:52,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",American Idioms and Slang,American Idioms and Slang,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x0127FAC57FEFCCB8A3189A8F83FFA1EA15587082F0DF968F9E9481DB753EAD78FEE566853B6EFBEA6A62FB345D7783F6FF5C764E01EBFB87C5BA2C32DE34071A3E,9/2/2016 22:18,9/2/2016 22:18,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01EB2C0329C7C5C4E6CED2787637BBA7BFAFD64FFE95F8EE18CC520556E9342CD1552C34D2CB8211D6F05824CA1EE3B22B516AB686FAF328C6AEA63F5453F3A401,9/2/2016 22:13,9/2/2016 22:13,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x012D4B9D174DAA50085DB51FFD259F8D2B3FDD177552E51C086B5EE4DF9E26A0EAC375D862C260700D28C2AFF24CFA916C16F06E3C1A1B468FDF359DE762F23E6F,9/2/2016 20:16,9/2/2016 20:17,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x010A57F3A4504A71895F8EA31A60F32008DF522F85E1DFB2C3761D98662E18FCC17A39298C18E15B87FC89B4075B8F8ACB5512302EA7A7C7EE499768E75E772353,9/2/2016 15:02,9/13/2016 17:21,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x016E59E638760276EC83647637C29B26FBA566BCB0429FE4A514D3C3C0F7A084BECC819D6C37F3906ECD00B3881152BEAA386C3F765F783A8BBE1B56970948B2FD,9/2/2016 14:29,9/11/2016 17:56,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,American Idioms and Slang,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01967863B514CF7D388C1C33E7E4529B4A3D3B423E3AB22780C73EEC49497DFCAEBBEDA22B5FEC6F1FF4D3E875056656C6815A3CBD0F09AFA28F34E068345FA9FF,9/2/2016 12:19,9/2/2016 12:19,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x013205B1C719FBBB7E4EE4F542430D7703E26D55AEFB19F73E3156AEBA25FCDF19B818B9F3A4A369C040AEF130B735782371B9C9A2127CFF0F8D6A0E9DB03C3237,9/2/2016 11:57,9/2/2016 11:57,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01C7DA894E3904C874A7B261B5E0FD5CB554131D074FC681AA04594922FB4A362D87E4CA79E734B141E2110EBFA3AD7BA4B2764FB5451352F7447E3CB0FA21D6A0,9/2/2016 9:06,9/2/2016 9:07,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01271101E0231BACEE28F709F84DE00C9A3B75E23F5FC6E069ECB091A9A4D77BDA0359D6818AE65294FACCC5960A540D9E2985D48BE7F9A40A06C872A7FCBB6E28,9/1/2016 21:46,9/1/2016 21:46,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01BC5ACA28ADAFB4ACA53A18D3EBFBCA6C4D5697752D58FF6FE09E317CC207B692FF760BAFC02BB9944E3C03458FD4C004ED6CFDE88E7205B68F7CBD31DCE86C87,9/1/2016 10:50,9/1/2016 10:55,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01ACFDC118C1D537599FA797C937E216202CD0C281C5512A23089A0ED52D67520ECE81BF668167764414CFFDCF7B96A1325BD0C34F32E4EE40882C19F9F9F419E0,8/31/2016 9:52,8/31/2016 9:54,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
