ID_encrypt,Start_Date,End_Date,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTH,2ndchoice_elective_TTH,Quarter
0x01140C1A5BB10443E8325FE3E499359380A336AF8C86F83CCDDB55279B85206B3B87CD89AEA8F6A46AE70CD113E85E6C04A08BB3449ABF621E47B8DE5E761E9F92,5/2/2017 14:00,5/2/2017 14:03,English Through Movies,Public Speaking,Word Play (Academic Vocabulary Development),IELTS Preparation,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x01D7F9196C94DF48766C25C624EDE46DA68C133E88EFBDAAC355E5A1E560A4A8EBD894A00F0E1598A34B408FD3A37D246927051D173B8D9B6CCB98E1451A1D7137,5/2/2017 9:46,5/2/2017 9:56,English Through Movies,Active Listening and Speaking,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x0102B7A9770EA6C103C09D847C78238679780364C9B3E44EDAE976B3C2DF83AA01F7ABB1AE5FA8D6CE7DEAB7D1D6923F7E00B1F7FF908EB6E8F50E5C35E461F631,5/1/2017 21:36,5/2/2017 23:37,Business English,Active Listening and Speaking,American Pronunciation,American Idioms and Slang,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x010AA3CF522A0160EE63D2CB772A436A36F0A59854C803A7E6DA495C980487DC375146976C731AA90DB8142FBDFCA51BF048475090D48B8478C1137F3EA75D14D8,5/1/2017 12:22,5/1/2017 19:04,English Through Movies,Active Listening and Speaking,IELTS Preparation,IELTS Preparation,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x01C346B033D480B8EA90D1C46DCC361D5758A8D34FCD55E636819BCE4EBD5B73DD718E5393B89A3FCA412C232A4438072C5B7446CA427BE19B4CEBAC688C01D00B,5/1/2017 2:53,5/1/2017 2:56,Active Listening and Speaking,College Workshop,IELTS Preparation,IELTS Preparation,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x0139F021DBF15129A639146A66564E75D7886F3760C0B0F9DEFCF9CB836FF976CC9DD33A88922B98268C15845BA83A6CC8C53CEE39E35D625CBE99B01BB4BD49AD,4/30/2017 12:36,4/30/2017 12:37,NULL,NULL,NULL,NULL,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x01B6D48896F670A49038263D6742BFD75EA675116F59D92106668C5E2D371774F09AC48D7653A5D8D702AAC5DB372B7579C304D149D79E60B1701FE434936B370A,4/26/2017 12:17,4/26/2017 12:47,Business English,Business English,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x013AAD567707C2D71EFBAE4D7E15E73B16D010E2AE7CC7E44A3867E84847100349E247AD16E4B5ABFFC1A9971F5C2EE27E116F4E618ADEBC7A3C1036F9D5B6FF9F,4/26/2017 11:18,4/26/2017 12:36,Active Listening and Speaking,English Through Movies,American Idioms and Slang,Current Events,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x01C479462683B419EC0555DB324B0CA5A7369E5101E2D7EDFE0DC9241B1E7C3B77E45C3DF79C9D6D6E9A837F89C49F4B2A9C56FAA3B638FCB01EE46AC53464F9AF,4/26/2017 10:00,4/26/2017 10:08,English Through Movies,English Through Movies,American Idioms and Slang,Current Events,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Intermediate
0x019DB43999FEE91B0919DAA9D0986BE43A0FA9E79E7F81DFC571DD2E42CA24F56FE7A9259F1089CDBA3326999BE9A63603454F55CA4FED81F9AAC6F5676D02F04D,7/31/2017 20:21,7/31/2017 20:23,Business English,Active Listening and Speaking,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2017_2nd_Half_Elective_Preferences_Intermediate
