ID_encrypt,Start_Date,End_Date,Do_you_plan_to_study_in_the_Academic_Program_next_session_,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTH,2ndchoice_elective_TTH,Quarter
0x01A71B3E7C303B72B9813C8F7331937776D231DB5BC22D66949A3249B04D540A36B4EF8EC961C55D3639E3E6E04F32A20D4B4A75DA02959D53BE59FB7C7D403047,9/27/2017 19:22,9/27/2017 19:23,"YES, I have submitted my intent to register online and paid for the next Academic Program.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01EF3D35A5C5C7F295843F0ADCD209164514C0B96A2499DA81068EE8F88E11B560C624A0E07DDDD1DB30F353D08E9873A38C77C5FF2AFCB753C0133D22F7049324,9/25/2017 3:17,9/25/2017 3:17,"YES, I have submitted my intent to register online and paid for the next Academic Program.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x011227709FF83ACAAE03D7025001D5FDB18B3406828CE562A26E73DDEA49FEC520E6E879776F341A1839CBCF7DE3D76175BAEAD58586A6AD4036225FBDE86D1BD2,9/22/2017 18:44,9/22/2017 18:44,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01BD559440E71617CB8A0B47189A51AF286E5E42CCFB336541C9B7C16AF02B4814B6D8C22AA7603170CD85DA4E6801628FFF7A9B50880677D81EE70BA91DAE5C62,9/22/2017 13:05,9/22/2017 13:05,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01A3422DA4E3B233522D4BC667740A0A4B2B1D404B1A9762F3575A28E3BEFD272EF65C060BC10B8DA82BE0D7D51DD6D07FDB3E9564DC29474C2E71CAF0706659A3,9/22/2017 12:23,9/22/2017 12:25,"YES, I have submitted my intent to register online and paid for the next Academic Program.",English Through Movies,Active Listening and Speaking,American Pronunciation,American Pronunciation,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01C18AD8C5697CA81C9C15E9C5BB66709BBC6226B3BF00BDAD48E599600D0DBA8FCCB58A3962EAD2A77EA4FFA90FC292F681C68F7EE9220518EB7DE9ABD7E71091,9/21/2017 20:17,9/21/2017 20:17,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x018D6B97234F1D13CBF4CB383683066A50A783B703445A2E5BBB57528CACCBE0C35ADA5D119A67BF85E871A3D060BD04CB43A99842BB1DA54B0ACD1D8D9F4406C4,9/21/2017 17:09,9/21/2017 17:12,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Active Listening and Speaking,Business English,Current Events,TOEFL Preparation,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x014ECA35336845710A45A4962A87F1AEFC12A44D871C155E47D4C34B0B664C7C0FA92BAA0F67B659534A8CDA30F7722BEB95BEB9125857241AAF977A27AFCC0B9C,9/21/2017 13:57,9/21/2017 13:58,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Active Listening and Speaking,Public Speaking,American Idioms and Slang,American Idioms and Slang,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01AFD78490CEBEDFDA7FC8A25FD49068EE78D08386CA9236234FCC35D0B2FCBC86A1466F91C14787925B45FB58A65C625AF70A6DAA7B920EBDC2A5486EB42F6834,9/20/2017 23:15,9/21/2017 0:11,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x015E865883AE4330F36EE9C5EBBE5CAD4B6FB4EAA31FFD0350574C27F08C2D78038907161F57632336CE38E434834C0F4302D0767E55595BE8B671654B17D446A6,9/20/2017 21:55,9/20/2017 21:58,"YES, I have submitted my intent to register online and paid for the next Academic Program.",English Through Movies,Business English,American Idioms and Slang,American Pronunciation,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01225063622C872825265BE34AE5AAA947B943385450C1963DB7AA0A414C764D5F286E33194D6D4A995F4E7E15A6DBCAE66073DF74DDD19014A7A3BA2A2FA5A9B3,9/20/2017 19:11,9/20/2017 19:11,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x0101A09440AE821DCE25A82562D95BC138637FC0AF42369E0E7DCFBA710C9A393DDD20E40FD0FDD0AEDC70002A877895DAC680F35D9A3F9CC3134F351319A7108B,9/20/2017 18:41,9/20/2017 18:41,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x0175491B8E3BC7937ED8D26ED0E1F9CAE4F7D662E5E2B17D9F48CE44FAE3C2FAB29003224F2F1C56014FCCAD66086F2C45DB5CFF10D2A66CDEB234DFE820780DD5,9/20/2017 16:00,9/20/2017 16:00,"YES, I have submitted my intent to register online and paid for the next Academic Program.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x016744C745200520571CF0888FC60CE9501846E8F9E87D0A266EB1AD4E27088F7BEA65497C9795D439B84EC6C93669265BC279D7CFD4471EC3458321787BA468C5,9/20/2017 12:13,9/20/2017 12:14,"YES, I have submitted my intent to register online and paid for the next Academic Program.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x0198183D519C2D4ECF08D85E4F05E596218AA355B6438B94078C389B304818F494591DC1CD2F1D5CE4E84388D63DBEAD97BA47292962340C596C4A626D41C8FED2,9/20/2017 2:21,9/20/2017 2:25,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,Public Speaking,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01751D2C8D1739519FCAA45C4F29DAB5DB4267EEC78B403D7410284C4E12A8CD9E88994170BC2E1415C04FC24C8F40267591A99423F09A7DCCE6C38D0DE51D6AC7,9/19/2017 12:14,9/19/2017 12:14,"YES, I have submitted my intent to register online and paid for the next Academic Program.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
