ID_encrypt,_What_did_you_do_before_studying_at_ALC__,_What_will_you_do_after_the_ALC_program_ends__,_Who_pays_for_you_to_study_at_ALC__,_How_did_you_hear_about_ALC__,_Which_digital_devices_do_you_have_with_you_in_LA__,_How_do_you_stay_in_contact_with_your_friends__,_Which_English_test_have_you_taken_within_the_last_6_months__,_Which_English_test_do_you_plan_to_take_in_the_next_6_months__,_What_major_or_field_do_you_plan_to_study_after_you_complete_your_ALC_program__,Quarter
0x01ADE8D9F9CF70A8DA34F9864AADDFEF4BD5628FA5E2D6C90EE1E70B5C7CD2142D1CE44D483226CCAED0471BF1BEBC3C89BE9D797969287EAF18DFD88E6CBFA2FF,student,MA or PhD,family,agent,mobile device,"(SMS,social websites)",none,IELTS,Art/Architecture/Design,AIEP_FA17
0x0162B03D23AED78F856CD0E19E86AEEE530A0CBAFCB135B693D98D84DC5C0A858C6793CC23A08B6E41319F720A9A5C64C646989B2BC5B96D838F3744ACE23C6BC8,working,return to home country,self,Internet,"(computer,mobile device)","(SMS,social websites)",none,none,Art/Architecture/Design,AIEP_FA17
0x0153A35F77A616019BC96CEEAFDB3C226C98F3DDF21C5BBF88416CDC70AD5F08368F3C06115C01E5DE45FA49C76B348B91BDDFF4456197F4E92078476803BFB580,student,4-year college,government,advisor,mobile device,SMS,none,IELTS,Business/Finance,AIEP_FA17
0x01A7EC9D845F221A22C102B4B873F14F45E2994EBF7DDB917843F5EF9049D8FCFAC9279D95E87CE4A104768A6DF76E53B03DA393115673B980A14E9C26538EEB89,student,UNEX certificate,family,friend/family,"(computer,mobile device)",SMS,TOEIC,iBT-TOEFL,Business/Finance,AIEP_FA17
0x0107E6D7A6E88038E4F5CE48593E50301A4D04CA5C7F8760145E76BB1B1125A05F659CEE3C4306D197EC691CE4351028724EBF5A09039D386F9442B427DE0EAE9B,working,UNEX certificate,family,Internet,"(computer,mobile device)","(email,SMS,social websites)",TOEFL,none,Engineering,AIEP_FA17
0x016CF5AC179AEBDEEC16AA131C05DCC4541FB61AD75A374B1A2BEAE196F2FA4F6AF79AC181328643860D008142DB334454F03B0F196D991A884A7967749A37152D,working,MA or PhD,family,ALC student,mobile device,SMS,TOEIC,iBT-TOEFL,Business/Finance,AIEP_FA17
0x012586CBEAD46587F6B24E7186C6A0DA4096D2966B1A72093015F4EA6F54DB79762148D58DF5DEF50743FF59989191EB7DB140CDE9A215C47250D688725E426F95,student,return to home country,family,advisor,"(computer,mobile device)","(email,social websites)",IELTS,IELTS,Other,AIEP_FA17
0x016A3021447F5D4659C8C33CEF8C280B86FA76A413A8CACF9A2240C04983F5661AD05E6D67E2DAB3A26808269972783BA9856D12A78210A470EEB214A4A61224CE,student,MA or PhD,government,ALC student,"(computer,mobile device)",SMS,none,"(iBT-TOEFL,IELTS)","(Business/Finance,Other)",AIEP_FA17
0x01EF8D305D36AB1B4E1F5F3DDE468BB7D536E494938FC68C7C5D25F7EC28595C14111FD79C65CB83C4A8B972A176B34B9992AFA69C2BEC155D4D0005B231265647,working,UNEX certificate,self,Internet,"(computer,mobile device)",SMS,TOEFL,iBT-TOEFL,Business/Finance,AIEP_FA17
0x01198C0424181101D24319A4C848FAC93C6758834D3BEC83E650964E6BF8AE1B17503883ACCF2D8908817447460EE4FF66EEB27ABDD171FBBA25BC4E74685FB72D,student,return to home country,family,agent,mobile device,"(SMS,Skype)",none,iBT-TOEFL,Business/Finance,AIEP_FA17
0x012228C7A4F4909C54EE75182299B7449F77FF433DA5249DDEC6144E03C4766B8809EB4D9A1383EB30B6F3208C0A68A733C1E06196E5959FB86D9198E73715F84A,"(student,working)",MA or PhD,government,ALC student,"(computer,mobile device)",SMS,TOEFL,"(iBT-TOEFL,IELTS)",Engineering,AIEP_FA17
0x016F82842F3F4EC160CF803B838025DFAEE3B5EB8A7BF59A3CFFB2C3055E02FE4460C313CD9AA8D98672AC99A8AA0B942F84E722431E2BEC968816366DC8005BC8,working,return to home country,family,ALC student,mobile device,SMS,none,iBT-TOEFL,Other,AIEP_FA17
0x017AFAB4399A0A3F9F24E8DB4BD60E9AF7933B3DCCFBED3269786F9D0101F9156A38DCB71BA13D4C423191EFD18BA2ED52F3D4D41E8C349FAE8B77ADE85426AE86,working,return to home country,family,Internet,mobile device,email,none,none,Business/Finance,AIEP_FA17
0x01430391B8F064D4F5B0604100D19415E8E8B0C0F7184DE9CBDA4976512BC2F2BF58C5D9F5A8CDFC5F3BAAF80E14DDBCCB2F9239B1E7A094C89533325C0A01BA65,student,return to home country,family,ALC student,mobile device,SMS,none,iBT-TOEFL,Art/Architecture/Design,AIEP_FA17
0x01ADB83E764371E7949C29EA1348B6583562B36B1FC498533DF8BBF0458CD0CF433047077AEBC11716FDA115954792A70D27867B32B93B5E799D6A1412420C4D4F,working,MA or PhD,government,ALC student,mobile device,SMS,none,IELTS,Business/Finance,AIEP_FA17
0x019E1BFF1CB0A4A51A7872B66517CA494CED005F6C16E539F2B4C708D1AA48EE8B61F0FCA101B4065CC956B9756CC4A28AF6E012FCDC340DA8F3E5437F1CBD1849,working,return to home country,self,ALC student,"(computer,mobile device)","(email,social websites)",none,iBT-TOEFL,Law,AIEP_FA17
0x01CD47DDE0EDBDF5F040532B0EF5C7C8EF43141DBA4F4214F2605ED23F288C5465F972A82AD19A8810117B99F2F648D48C55E331F06B5B3FA251FD81AF0842EC57,student,4-year college,government,Internet,"(computer,mobile device)","(email,SMS)",iBT,iBT-TOEFL,Engineering,AIEP_FA17
0x019CED81AAB1546E2DD7DE0C3E87B2C6A6BB103F43E629DBFB3BE0A724436E843C9F6E3B7E1C67EC439BBBB7482B4D2B45DB672948282906AD0D08A612C03AF4FF,working,MA or PhD,government,ALC student,"(computer,mobile device)","(email,SMS,social websites)",TOEFL,iBT-TOEFL,Other,AIEP_FA17
0x018D6B97234F1D13CBF4CB383683066A50A783B703445A2E5BBB57528CACCBE0C35ADA5D119A67BF85E871A3D060BD04CB43A99842BB1DA54B0ACD1D8D9F4406C4,student,return to home country,family,advisor,"(computer,mobile device)",SMS,none,"(iBT-TOEFL,TOEIC)",Other,AIEP_FA17
0x014F9C16A6173BB4111404535A59D021B9D7A3D8809672C9228F46AB38A6E910778C871AF85FB50647F8A97414C3FF7C8A03698C420B1B8AB8E2AF3BDA835039E7,student,return to home country,family,advisor,"(computer,mobile device)","(SMS,social websites)",none,none,Business/Finance,AIEP_FA17
0x0198183D519C2D4ECF08D85E4F05E596218AA355B6438B94078C389B304818F494591DC1CD2F1D5CE4E84388D63DBEAD97BA47292962340C596C4A626D41C8FED2,working,2-year college,family,friend/family,"(computer,mobile device)","(SMS,social websites)",none,iBT-TOEFL,Other,AIEP_FA17
0x01802072BD59BAFAFD7ACB327F3EDB9B430F95908D8BD8A3679DFA8E2C4261B38B0BCA6BEDAFBCF3351F92AD4B067A22E1E2CFAE03948CA2595BEF7687AD89E123,other,UNEX certificate,family,agent,"(computer,mobile device)","(SMS,social websites)",none,iBT-TOEFL,Business/Finance,AIEP_FA17
0x018C576193FE4CE7D11E78FCD5D68EA08226479286FDAADFE9FE3E375B437C3AE334241AB7D5F15842EC869AFD0B1E00030ED45AFE5256D6B7AD8BFD4C581E9CD0,student,return to home country,family,friend/family,"(computer,mobile device)",SMS,none,iBT-TOEFL,Business/Finance,AIEP_FA17
0x01F6570F901B1431811CB2F0D89214E169FC7F353F02D6DB694A8A56D2233215065F542378D8E302ECBF50603B040D7D67E58388576599AF0E9C299EB4A9DC9910,student,4-year college,government,friend/family,"(computer,mobile device)","(SMS,social websites)",IELTS,IELTS,Engineering,AIEP_FA17
0x0136D51238C0795C656A4E91EEA40A02B2BDEABD8834C563D5C743D085FB0C67554A97E8EE00FF01D3EF24CF4FC1592BE5AE80B01A118067D3C15D45B91F2AAD80,student,4-year college,government,ALC student,mobile device,"(SMS,social websites)",IELTS,IELTS,Business/Finance,AIEP_FA17
0x01A44718D902A16FF20737BED16A81EB15BB7B772786DFFFBED413BABDAE050E4D7D52ACB702E47513A020180DA1DFE43A601889643867A214DD7F3ABF5440E433,working,return to home country,family,friend/family,mobile device,SMS,none,none,Business/Finance,AIEP_FA17
0x01076369AC935CC94D63E6B6E7647BD25549B045D52F463C562F02746C5B642E95DBDC98C74EAF5C22A4552E8BD0DAAE1BAA585EE11CD79CCF2EEF0CD0F2664671,working,MA or PhD,self,ALC student,"(computer,mobile device)","(SMS,social websites)",TOEFL,none,Engineering,AIEP_FA17
0x01F9EF450DC1749D2F8BEF08E160FF74F2B889F50A3B353F6E2F6EC146E803D8CC0730741CF92B0A1BBBED7A149EE19CED9E4D992E3057CDB8AF441241EE1B9939,student,4-year college,government,Internet,mobile device,social websites,TOEFL,IELTS,Engineering,AIEP_FA17
0x01D6BAFFD0FACA305887120408635B2F00BA23B2853DEE46D6B1BA8D3F3B0BCAD156A4588B4D96A52B450CDF55BC60A4098B4170F0E6D4793ACD5EEC1BCB6E5829,student,return to home country,family,agent,computer,SMS,TOEFL,none,Education,AIEP_FA17
0x01BB220C69156BEC6E1688152BD50BF8AC60380E147B155B5C561479190BB8E55E1882D4D81DA1D9A1B31C4CAC3349D75049AAD13E4E2EE5E74852976B4B7A7474,student,MA or PhD,family,advertisement,"(computer,mobile device)",SMS,iBT,iBT-TOEFL,Engineering,AIEP_FA17
0x0131641D3A6AC83A15FD1798F4CCC3F659F35B01A301231B94FA818EE536193FF24629B4AF32A9AEA47295C5EFB7877ACE798BBBA6F7DE61C1673DDA70FC384852,student,2-year college,family,friend/family,mobile device,SMS,none,iBT-TOEFL,Business/Finance,AIEP_FA17
0x019168EF4FCD02AA849AC6E2E8212A0057C730C188C3AA76044537F226E0AAA8670A14E69FA46F9423C3893FE9B5FFFB240D81C33F1E246CBAA2C29F51DD531321,working,MA or PhD,self,Internet,"(computer,mobile device)",SMS,none,iBT-TOEFL,Medicine/Biology,AIEP_FA17
0x019C871A3DCAA02E0C5D56DBADAD8B3329F84E2F6B6263FE54C01117FBD8101C8A88DE7144D15EA70259F55B1020630B97F57C5559D13685176D02E757A0C6DD03,student,NULL,family,ALC student,mobile device,SMS,TOEFL,iBT-TOEFL,Business/Finance,AIEP_FA17
