ID_encrypt,Level,_What_did_you_do_before_studying_at_ALC__,_What_will_you_do_after_the_ALC_program_ends__,_Who_pays_for_you_to_study_at_ALC__,_How_did_you_hear_about_ALC__,_Which_digital_devices_do_you_have_with_you_in_LA__,_How_do_you_stay_in_contact_with_your_friends__,_Which_English_test_have_you_taken_within_the_last_6_months__,_What_was_your_score__,_Which_English_test_do_you_plan_to_take_in_the_next_6_months__,_What_major_or_field_do_you_plan_to_study_after_you_complete_your_ALC_program__,Quarter
0x017563F2F913387964D36F9B2B7B946B9D8AEC85E995CCF68F396FC48A190AF2D5A1ED1AD45D72A8433C5081606B629D38E81F129944725A115A5D82869C1D12A4,NULL,student,4-year college,government,embassy,mobile device,SMS,TOEFL,71,iBT-TOEFL,Other: International Relations,AIEP_FA16
0x0135C1DB794F23498438E4B9DFCA450B03F09424D949A79BB2A878CE4C1791F4B3DF2466506E8B151D94A2D4A07D05EF3D6E78D4DB412420F303FD8E6CDEB6EBE3,NULL,working,UNEX certificate,self,ALC student,mobile device,SMS,none,NULL,iBT-TOEFL,Business/Finance,AIEP_FA16
0x015CDDC207925CF7CDD5ECE6472E166F984557C4D8A92B7603E5C667FF96C511D39BE279B56AB0CEE00EBE928D420FFC392CD5C5B6205BA5A304291D2CEC6A6649,NULL,student,MA or PhD,government,embassy,computer,SMS,IELTS,NULL,TOEIC,Engineering,AIEP_FA16
0x017825C8EF8C46ACED710083CC2727D0884E589BE73E42AD3DA6E5FB92540C5FB0BD934E9B6A7ECD28571F5A576F9F50034ED50F61742EF47E220C80F1156050A8,NULL,working,MA or PhD,self,friend/family,computer,SMS,none,NULL,IELTS,Engineering,AIEP_FA16
0x0101D844B94705F264DAF80973B4C3B9659B0B4242C7F4857BD5F0B7131086BA8024E4E3D83C3E0B718075946A9AB82247981F0BB0EC63B12E3D5810E9437F16AD,NULL,working,return to home country,company,ALC student,mobile device,email,none,NULL,IELTS,Engineering,AIEP_FA16
0x01A3A9A3F8E0CC02703BF3D85A2938C5FD003C74E7A8F1C20E735603BE5EB6A86988FB52C24DAC67A6438C76E3758428B3A7C6CC3AFBC50A2AD64D4255EEAE956D,NULL,student,2-year college,family,Internet,mobile device,email,none,NULL,none,Other,AIEP_FA16
0x019E0DB2DA63E8FB349955EBDD07A0F73AD19F19DA4405E18FAE81E2BE36CD2C193CD283D1081BCFA808AFE1805A06A3CF8268E168F2FC928C2AFDC1E0A02F55D3,NULL,student,4-year college,government,Internet,mobile device,SMS,IELTS,5,IELTS,Engineering,AIEP_FA16
0x013FF9FC4DC0D8BCEC60559316C556AABE814EE3360B08052DC7F3ED71FB5222442516D21C7DFBEC06152CC34115171610F8C8FE4CF17FF6700E142E8F63A3B6C0,NULL,student,4-year college,government,ALC student,mobile device,social websites,IELTS,5.6,IELTS,Medicine/Biology,AIEP_FA16
0x0185469D221B1D3F2116B12366FF79CC7FFD39019ED2C915416F2C955E9E61FE4426CAC19314AC63C2E7BBE6D7E7D7BFEA6F78BEE77DFF02CE9D8F05D882A868C8,NULL,student,4-year college,self,ALC student,mobile device,email,IELTS,NULL,IELTS,Law,AIEP_FA16
0x0113DAEB746373C0BCCE382FADADAB1CA660E747B5B40BC59B2C476CF8D5E042A359F15E9A9E9F8E4EB528EF792908A328A75A3928904F2B1F26CB3075CF131D6D,NULL,student,4-year college,government,friend/family,mobile device,SMS,IELTS,6.5,IELTS,Engineering,AIEP_FA16
0x014E4B09F47455D326351F0BEF34D15A49EF8985D953303E267097AF87953EF81DF953D196AFD37AEAF0AFEC921104CA23849BD4139D93E909A1EEAC8824019758,NULL,student,4-year college,government,friend/family,mobile device,SMS,none,NULL,IELTS,Medicine/Biology,AIEP_FA16
0x017796D260001174C84E5D60AA7D1EBA2A1BAB42C3D0B0714E230590EA5DA2E4A743DF5D70EE654FBFB1D2142B88F07A2FC6965D2281BBDCE851A6BB17F19CE876,NULL,student,4-year college,government,Internet,"computer,mobile device","SMS,social websites",IELTS,6,IELTS,Engineering,AIEP_FA16
0x016EFA97C62754CDD085B3AE32381C5BA3BC64818664133C098A802463A67100DBBB3FA00EBF20D74C7ED3E88D07BF583660390D92C5D6701048CC888D371669F2,NULL,student,4-year college,government,embassy,mobile device,SMS,IELTS,6.5,none,Engineering,AIEP_FA16
0x01B6D48896F670A49038263D6742BFD75EA675116F59D92106668C5E2D371774F09AC48D7653A5D8D702AAC5DB372B7579C304D149D79E60B1701FE434936B370A,NULL,student,4-year college,government,Internet,"computer,mobile device",SMS,none,NULL,IELTS,Medicine/Biology,AIEP_FA16
0x01766DAAEF40CD5B12B6B90A5E20BDCACF8EF9965201BACBBE93610DF78709F2A2520457315D821D9C3EC95E2F9CAE42EB852DF30D43C74B282183407747C793C5,NULL,student,4-year college,government,friend/family,mobile device,SMS,none,NULL,IELTS,Engineering,AIEP_FA16
