ID_encrypt,EnglishUse,Listening,Composition,Total,TestCalcLevel,Quarter
0x0156D37B2C8F57E6BD2664D243FF732B908F2866AF0E4D25D0E98B6B177C7E5A8CF524B6DF6CAEA6AA0373E43AD2C64EDA204BC1C775EA0452EC226F8AFA487692,74,109,39,222,107,2017Fall
0x0146E87271B6A976F2D5FC0E090266DC746C99F1821B7C29979D83A918C5FA1801A6B686188F6545B1A1601C081712480D58A58BFF2F28707A5E16D0961F079894,NULL,NULL,NULL,0,NULL,2017Fall
0x0167DC0E97DAF008AD8767B996D382F486A70A15E577BC35C56717D96B603E689A56A9548BF9602338B51AA025350EF6676DF4829D6B0ED5EC9E433328D609CEA1,NULL,NULL,NULL,0,NULL,2017Fall
0x011AC695067E06225BDBAC9CE844E40809741F5C911CAD46ED9F06B07371516312418DCA1C5F66156F2D8730DED32F8ED5A048F53C0F9D8EA83AB181A6308264E5,79,85,24,188,105,2017Fall
0x0151EA60875F46A45DA20717E99183272A109AEC0B179AB7544B4A1BAE67239DC7F3ECB7E62BB1BD1237BA2F6039DA74DD7206B8BDC79DCB99D6BCEC7354D3F14A,NULL,NULL,NULL,0,NULL,2017Fall
0x015B4ACE80749707B51A12388C3DF101E7E21C6D332AE46897BEDB1AD5FD420590BD061D4B8CA6F4DE7EFCA66AE6101A06EAE680ED25C333A1BB07E2168C85BB2D,NULL,NULL,NULL,0,NULL,2017Fall
0x0121B4A5A74B113C5FADD25C0661A611F236B671A7FE1F41868CC6B3E58D1E62B650C14E9577A0761B73F6BF0D04B37F0A4008CCE226D5E3EA337964A4E5FF7926,NULL,NULL,NULL,0,NULL,2017Fall
0x01D34BE93AB503E6A1B368AA49AEB5622FA0F998CD1ACA8DEB6C09C1AB1BC2F0C7B73A371E3830366A987049CECBF1C67CC184132D66B5DB02D032DD75A1BBE779,NULL,NULL,NULL,0,NULL,2017Fall
0x01013F69F8E4E588C8DE1A45C5B59AB785B34D7DE9D11861774A7D89B5B23642AA0C2FFD2589CC300AC962470E5B1EB046F7050F6929E03B704E32410EA1EBA98C,NULL,NULL,NULL,0,NULL,2017Fall
0x01D14B13D6B549E5EA92058FFE86B33325DA69B2051C379533C94C67E3759E52A06F66B3C4746FB35C45FF77629F645318A68836F8DE8A4FC36905F251BAE2312D,6,17,6,29,100,2017Fall
0x01952063FA88506F787AA4F733F98DA41BFB4BC1C5A7CAE2134A8826EA5EA1E62F38E9926CA48BEBF8FF7EE5B5DBAEFE137817020707DDBA719F3A182F2FA8FAF6,NULL,NULL,NULL,0,NULL,2017Fall
0x01EE0C24596B80AD1C3B75836AD8C4CC20A507ABE5EB922BA8C6F9B6D234334D137A1B652E4F51A2CB95426603A304B7BBBAEB8F10924D503AE1D12424677ABC3A,18,32,10,60,101,2017Fall
0x0153E6BED301BD11E451733BFC9DAF029053795A44DB70DB8D315D5D72E68F0E97BCF27C2935B2C1855AA0AD7B8DA391A7E1C25FDB069950231B92CDCFA5224D6E,NULL,NULL,NULL,0,NULL,2017Fall
0x011B47B6344D172570802E20F400AAC1038EC60894C48F333D07C61EA1F39639AFA3D89E5068F4A7AC89D440A07952A7112F74AA2648C32271ABDE36A0EA8C710F,8,9,6,23,100,2017Fall
0x01362293906A6825D4DBB24ED90B2003E2B6E26B570673131D793A0D2A002417B162A304E9696A230988D90040198C201E81036C6D6CAD7BCDD16308BFB7CFC60D,93,72,28,193,105,2017Fall
0x016DE41CCF44D0EC5878CE2763D6E9876EF97AB97AF3C17EEC851B8A12C229B0C4C0908BE0FF85496DFCD15BFD927DDE35CFD3B493695705C76B4A3E90907FFBFB,NULL,NULL,NULL,0,NULL,2017Fall
0x01750A51CC675B02D7DC012B7F972EC89DE34BA424C2AC7EB7D0660647C3C0086754D4BC4DD57824863AD3079572FFE1234948AA906330A2633AF76EB68E8CB9C1,NULL,NULL,NULL,0,NULL,2017Fall
0x01A70DED42D5AF54884F2161E6CDFDA2E38ADFBB22FE676BA57682F17A89FCCB7541FB58216752777FB3F736EF5EAA615243512BFE309E4DFC0F435C56F3595ACC,NULL,NULL,NULL,0,NULL,2017Fall
0x0114C88C379056DDC7736132320E1F8B319B724A2342D7F24223EAF645242410F7CB9303CFF43A339A8D7AF54D3BED1E0F22E5CC6FFA13DCF3718FA0F20A590AEE,NULL,NULL,NULL,0,NULL,2017Fall
0x01E4363644C94D027B6D9C344749EFCA940D3C3037E619F2179ECF5B47C4D244A672302F1CB7840FFB123EACCA0AB67C5BEB2E6263C1D246779A00DBBE7A6CA2CA,NULL,NULL,NULL,0,NULL,2017Fall
0x0153A35F77A616019BC96CEEAFDB3C226C98F3DDF21C5BBF88416CDC70AD5F08368F3C06115C01E5DE45FA49C76B348B91BDDFF4456197F4E92078476803BFB580,18,36,3,57,101,2017Fall
