ID_encrypt,Start_Date,End_Date,My_current_Monday__Wednesdayelective_is_1,My_general_evaluation_of_this_teacher_is_1,My_general_evaluation_of_this_course_is_1,This_teacher_is_organized_and_prepared_1,This_teacher_gives_interesting_activities_1,This_teacher_explains_things_clearly_1,This_teacher_answers_questions_well_1,This_teacher_gives_students_chances_to_participate_in_class_1_,How_satisfied_were_you_with_the_textbooks_used_in_this_course__choose_N_A_if_your_class_did_not_have_a_textbook__1_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_1_,What_do_you_like_about_this_teacher_class__1,What_changes_would_make_this_class_better__1,My_current_Tuesday_Thursday_elective_is_2_,My_general_evaluation_of_this_teacher_is_2_,My_general_evaluation_of_this_course_is_2_,This_teacher_is_organized_and_prepared_2_,This_teacher_gives_interesting_activities_2_,This_teacher_explains_things_clearly_2_,This_teacher_answers_questions_well_2_,This_teacher_gives_students_chances_to_participate_in_class_2_,How_satisfied_were_you_with_the_textbooks_used_in_this_course__choose_N_A_if_your_class_did_not_have_a_textbook__2_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_2_,What_do_you_like_about_this_teacher_class_2_,What_changes_would_make_this_class_better_2_,Quarter
0x016FE62B4C736739D5FDAFFB5722534711F305081ECCCBF71E783FABAFF7B62DF88B614B8F625067C77BC82D47EFB4E3B6468D4446127E3339C12986BE8B50B908,2018-08-06 09:21:43.0000000,2018-08-06 09:28:42.0000000,Darren Butts (Active Listening and Speaking),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,"The teacher is an astonishing man ",NULL,Shelly Reece (American Pronunciation),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,"She is a gorgeous teacher ",NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0196877765961A19FCBF041C50487BB3EDD8AA88C338D9C4C47831A79F76877458D30400642D25A1A584C10BE8B7CC555E80E7C41B4C4FC5220556A0A462516899,2018-08-02 19:09:31.0000000,2018-08-02 19:11:27.0000000,I do NOT have a Monday/ Wednesday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gene Kavenoki(Current Events),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01BB1FBA154E2070E904041835145CD3A5CE34EECA287FAE235E73F15457802650829C116A14CF5F4255A3C178718BB53961655B309177AD8E0629D80760A0AA33,2018-08-02 17:30:19.0000000,2018-08-02 21:18:38.0000000,Gene Kavenoki (Business English),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,Very interesting because he talks about current topics,Find another way to evaluate and not only 1 exam at the final,Fawzia Mohamed (105 TFL),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Very clear all the topics that we saw and very useful to prepare for a future university program,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0188242A8790517A9DC418422D3B81FBDA3882F3B780C8920709A2420E1C1B3E600D8D2E29F7F77C8567E6B8A22A2FB7040574E6A7F0E1901D3A243E13C03378F0,2018-08-02 14:16:12.0000000,2018-08-02 14:18:31.0000000,Gene Kavenoki (Business English),C - Good,C - Good,I somewhat agree,I somewhat disagree,I somewhat disagree,I somewhat agree,I somewhat disagree,Somewhat dissatisfied,Somewhat satisfied,NULL,NULL,Shelly Reece (American Pronunciation),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01E50AC98F201D29DF6C510FDC15B09479DBD276C54C3948F78292F597377C0B9A292FD52EE64EE26BAE8732E297AE14C90386C0520C0E637548088386950BA99A,2018-08-02 13:26:48.0000000,2018-08-02 13:35:18.0000000,Fawzia Mohamed (Public Speaking),A - Very good,B - Somewhat good,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,Our teacher is definitely suitable for teaching this class.,"Time control ",Fawzia Mohamed (105 TFL),A - Very good,C - Good,I somewhat agree,I somewhat agree,I strongly agree,I strongly agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0176ACDED1B15A9E05615F70A8D629315565C2920B9DB2946F923F4C1C3787B672FE7795EFCBADB0EDD96DFE8617B29541D6D135B5AE0B2FED025E4C6903FB4B0E,2018-08-02 10:46:16.0000000,2018-08-02 10:47:08.0000000,I do NOT have a Monday/ Wednesday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Darren Butts (IELTS),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x013687A286854C6ED47A43B4DA7F551DA258A3658ABE54F08403DEE9BAD32BD57915F3DE976181CEC84B24A087195BE89667B13BA072367E028D81B2643070DB44,2018-08-01 19:40:25.0000000,2018-08-01 19:44:02.0000000,Scott Gist (Movies),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,I can learn slangs and idioms that are useful for daily life,Nothing,Shelly Reece (American Pronunciation),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Our teacher is serious and funny,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x017BEE2CBF461D4782FF65ABD6EF0959951797948C60B07E368890F7730FD7246476CCAB657754DD265C4723D6FA6435FFDE200D54472BD9DBA7BAF4CAA3BD75CD,2018-08-01 17:32:11.0000000,2018-08-01 17:37:14.0000000,Karen Muldoon-Hules (GRE),B - Somewhat good,C - Good,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,Very satisfied,Somewhat satisfied,NULL,NULL,Darren Butts (IELTS),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0123FDF59EAA7B9289DC6C26FB860ADA228D6C175AD8122F7DE5E7EEAA340AA451F4EFA9D3077770069E6601A4598F180BA7478D9DAC999C2BE66DD76EB5E81427,2018-08-01 17:30:06.0000000,2018-08-01 17:33:38.0000000,Karen Muldoon-Hules (GRE),C - Good,C - Good,I somewhat agree,I somewhat disagree,I somewhat disagree,I somewhat disagree,I somewhat agree,Somewhat dissatisfied,Somewhat dissatisfied,NULL,NULL,Fawzia Mohamed (105 TFL),C - Good,C - Good,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01215E639FFBB7F63FD9318178E2F690DF61A0DC7F71304C62F9763960D95C091BF2B7270747F42C4782724E240C5CBFA98B8036480AC6A4B78B132CD3565FAD4E,2018-08-01 15:06:25.0000000,2018-08-01 15:12:06.0000000,Karen Muldoon-Hules (GRE),B - Somewhat good,C - Good,I strongly agree,I somewhat agree,I somewhat agree,I strongly agree,I strongly agree,Somewhat dissatisfied,Very satisfied,NULL,Provide overall information about the test at the first class,Darren Butts (IELTS),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Somewhat satisfied,NULL,It is better to divide the group according to the English level and the target score.,AIEP_Summer_2018_Evaluations_12_week_1st_Half
