ID_encrypt,Start_Date,End_Date,IP_Address,What_kind_of_electives_do_you_have_,My_current_Monday_Wednesday_elective_is_,My_general_evaluation_of_this_teacher_is_1_,My_general_evaluation_of_this_course_is_1_,This_teacher_is_organized_and_prepared_1_,This_teacher_gives_interesting_activities_1_,This_teacher_explains_things_clearly_1_,This_teacher_answers_questions_well_1_,This_teacher_gives_students_chances_to_participate_in_class_1_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_1_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_1_,What_do_you_like_about_this_teacher_class_1_,What_changes_would_make_this_class_better_1_,My_current_Tuesday_Thursday_elective_is_1_,My_general_evaluation_of_this_teacher_is_2_,My_general_evaluation_of_this_course_is_2_,This_teacher_is_organized_and_prepared_2_,This_teacher_gives_interesting_activities_2_,This_teacher_explains_things_clearly_2_,This_teacher_answers_questions_well_2_,This_teacher_gives_students_chances_to_participate_in_class_2_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_2_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_2_,What_do_you_like_about_this_teacher_class_2_,What_changes_would_make_this_class_better_2_,Quarter
0x0197A4579FBFDD1E554ADFAD2DB1CDC352AEF70C743DF54AE24D5756D8555113FEB6FACD4ED735F9C6C22A6245E6ED4540139FC49CE3958584A043F3DFDD8AFEC4,12/18/2017 22:41,12/18/2017 22:41,104.35.33.151,I have no electives.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2017_Elective_Evaluations_First_5_Weeks
0x019606BE2DC95A15DBCC421D72E981FD2CC2C0A3DA230DB82CAC6E052859313C5A2DF66C6348644A7D978DC33B308EB068EE98DE11F8C5211DD63148F51289F186,11/24/2017 16:11,11/24/2017 16:17,104.173.218.57,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,College Workshop (with Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,GRE Prep (With Chris Schulte),B - Somewhat good,C - Good,I somewhat agree,I somewhat disagree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,AIEP_Fall_2017_Elective_Evaluations_First_5_Weeks
0x017216D28F476AD70E08C36E25937AE9065C4F2E75AE4B1C60AB7511F6DC978EFC697FA0B5A8567EA0006F094B1782A9C0B7DA6316B3A1984FE20BF9F484EFE8A6,11/21/2017 17:45,11/21/2017 17:47,23.242.139.36,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,English through Movies (with David Chrisman),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Word Play - Vocabulary (with Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Fall_2017_Elective_Evaluations_First_5_Weeks
0x01ACF648CE8B881C0540E10BBB11AB5E921542541361A76D7F3CF28D7A5F33772B3556ACA1B93E21D61236BA2B8ED32C7AB905064CC410AFB0AE54FF2F2CBB56D7,11/21/2017 13:38,11/21/2017 13:39,131.179.60.139,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,English through Movies (with David Chrisman),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,American Slang and Idioms(with Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Fall_2017_Elective_Evaluations_First_5_Weeks
0x01A7180615BB938FFE4C939F4668925DBB7831A299415D699EBCC67646811392FEDE327F57BA420B4A2398205224334853C15C39FC75BE895E549ED99220E6012D,11/21/2017 10:22,11/21/2017 10:27,37.172.216.238,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,Business English (with Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,Very interesting and dynamic,NULL,105 TOEFL (with Leigh Hall),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,"Good teacher but toefl is not a very interesting topic... ","Maybe more practice ",AIEP_Fall_2017_Elective_Evaluations_First_5_Weeks
0x017AEADD592F50BB26026A426D8E947CE572CB173EF2C8FA251BBB3879419FC0B75E90E70D1C28C0C82EF20F0F0B2CA2075DF8358A9A4EE9D8E100619AA75E9397,11/21/2017 10:03,11/21/2017 10:04,128.97.109.51,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,Public Speaking 1 (with Annika Rahe),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Word Play - Vocabulary (with Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Fall_2017_Elective_Evaluations_First_5_Weeks
0x0162B03D23AED78F856CD0E19E86AEEE530A0CBAFCB135B693D98D84DC5C0A858C6793CC23A08B6E41319F720A9A5C64C646989B2BC5B96D838F3744ACE23C6BC8,11/21/2017 9:56,11/21/2017 10:02,172.56.31.191,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,English through Movies (with David Chrisman),B - Somewhat good,A - Very good,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,I strongly agree,N/A (We did not use a text book in this class),Somewhat satisfied,"I can learn American culture from movies. ","If teacher can teach some important vocabulary before we watch movies, that would be better. ",Word Play - Vocabulary (with Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,"I can remember vocabulary deeply. ",none,AIEP_Fall_2017_Elective_Evaluations_First_5_Weeks
0x01FAF4804C0DE6D61A387F54BB313AE97E7FEF344EED1D6E5EF1AAF46A5ACECDE3AA109879C02D61DE950186790761DC5EA5C729AE77FEA8E8D7F24309EEE02909,4/18/2016 20:30,4/18/2016 20:33,75.82.153.68,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,Active Listening and Speaking(with Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,104 TOEFL (with Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2016_Elective_Evaluations_First_5_Weeks
0x01D16A44FDD842646211EDCEB9A9519680CE348C9AD3B89B6E05A78F92ADC4049A8B5BCE0F4560D660B1B665C002897F1942186179410638E9AD1E9F822066757F,4/18/2016 20:06,4/18/2016 20:10,23.243.26.100,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,Business 1 (with Gene Kavenoki),C - Good,E - Very bad,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,Very dissatisfied,Very dissatisfied,NULL,NULL,105 TOEFL (with Leigh Hall),E - Very bad,D - Somewhat bad,I somewhat disagree,I somewhat disagree,I somewhat disagree,I somewhat disagree,I somewhat disagree,Very dissatisfied,Somewhat dissatisfied,NULL,NULL,AIEP_Spring_2016_Elective_Evaluations_First_5_Weeks
0x01E90C43F9479B667D4E8AD79E5EF04A4C269A42F8B0A433B54A36C08C9F7D20C6276873BF420DAD6ED4DDFAB4444D40D74AE82F36BAEDFAFE47AF0DDE5A408A72,4/18/2016 19:44,4/18/2016 19:44,75.82.30.5,I have the same class everyday,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2016_Elective_Evaluations_First_5_Weeks
