ID_encrypt,Start_Date,End_Date,IP_Address,What_kind_of_electives_do_you_have_,My_Monday___Thursday_teacher_is_,My_general_evaluation_of_this_teacher_is_1_,My_general_evaluation_of_this_course_is_1_,This_teacher_is_organized_and_prepared_1_,This_teacher_gives_interesting_activities_1_,This_teacher_explains_things_clearly_1_,This_teacher_answers_questions_well_1_,This_teacher_gives_students_chances_to_participate_in_class_1_,How_satisfied_were_you_with_the_textbooks_used_in_this_course__1_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_1_,What_do_you_like_about_this_teacher_class_1_,What_changes_would_make_this_class_better_1_,My_current_Monday_Wednesday_elective_is_2_,My_general_evaluation_of_this_teacher_is_2_,My_general_evaluation_of_this_course_is_2_,This_teacher_is_organized_and_prepared_2_,This_teacher_gives_interesting_activities_2_,This_teacher_explains_things_clearly_2_,This_teacher_answers_questions_well_2_,This_teacher_gives_students_chances_to_participate_in_class_2_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_2_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_2_,What_do_you_like_about_this_teacher_class_2_,What_changes_would_make_this_class_better_2_,My_current_Tuesday_Thursday_elective_is_2_,My_general_evaluation_of_this_teacher_is_3_,My_general_evaluation_of_this_course_is_3_,This_teacher_is_organized_and_prepared_3_,This_teacher_gives_interesting_activities_3_,This_teacher_explains_things_clearly_3_,This_teacher_answers_questions_well_3_,This_teacher_gives_students_chances_to_participate_in_class_3_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_3_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_3_,What_do_you_like_about_this_teacher_class_3_,What_changes_would_make_this_class_better_3_,Quarter
NULL,5/8/2017 1:24,5/8/2017 1:25,45.49.230.127,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/6/2017 15:56,5/6/2017 15:59,45.49.137.231,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE LISTENING AND SPEAKING (Lana Koyadinovich),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,104 IELTS (Julie Normington),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/3/2017 15:35,5/3/2017 15:35,172.58.22.225,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/3/2017 13:50,5/3/2017 13:53,128.97.109.51,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/3/2017 9:16,5/3/2017 9:18,128.97.109.70,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/2/2017 23:37,5/2/2017 23:43,172.113.255.243,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I somewhat agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,ACADEMIC VOCABULARY(Joan Stein),B - Somewhat good,C - Somewhat bad,I somewhat agree,I somewhat disagree,I somewhat disagree,I somewhat disagree,I somewhat disagree,Somewhat dissatisfied,Somewhat satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/2/2017 20:06,5/2/2017 20:10,45.49.137.209,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE LISTENING AND SPEAKING (Lana Koyadinovich),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,AMERICAN PRONUNCIATION (Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/2/2017 20:02,5/2/2017 20:03,76.169.184.17,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/2/2017 18:57,5/2/2017 18:59,172.113.232.147,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),B - Somewhat good,B - Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,AMERICAN PRONUNCIATION (Gene Kavenoki),B - Somewhat good,B - Somewhat good,I somewhat agree,I somewhat agree,I strongly agree,I strongly agree,I somewhat agree,Somewhat dissatisfied,Somewhat satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x018B3D568F03C762B591C46DD6E83787D6A8A325A09E3AEB4B492CC3CDC858B695FCE5DFFCC48556AF06FBBDB06A7FD4036266C1AA5A12BA3A040229CF1E465489,5/1/2017 22:34,5/1/2017 22:35,104.175.203.220,I have one electiveMonday- Thursday,105 IELTS (Bobby Blundell),B - Somewhat good,B - Somewhat good,I somewhat agree,I somewhat disagree,I somewhat disagree,I somewhat disagree,I somewhat agree,Somewhat satisfied,Somewhat dissatisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
