ID_encrypt,Collector_ID,Start_Date,End_Date,IP_Address,My_9_00_11_00_AM_teacher_is_1_,My_general_evaluation_of_my_9_00_11_00_am_teacher_is_1_,My_general_evaluation_of_my_9_00_11_00_am_course_is_1_,My_9_00_11_00_am_teacher_is_organized_and_prepared_1_,My_9_00_11_00_am_teacher_gives_interesting_activities_1_,My_9_00_11_00_teacher_explains_things_clearly_1_,My_9_00_11_00_am_teacher_answers_questions_well_1_,My_9_00_11_00_am_teacher_gives_students_chances_to_participate_in_class_1_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_1_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_1_,What_do_you_like_about_your_9_00_11_00_am_teacher_class_1_,What_changes_would_make_this_class_better_1_,My_11_00_12_00_teacher_is_2_,My_general_evaluation_of_my_11_00_12_00_teacher_is_2_,My_general_evaluation_of_my_11_00_12_00_course_is_2_,This_11_00_12_00_teacher_is_organized_and_prepared_2_,The_11_00_12_00_teacher_gives_interesting_activities_2_,This_11_00_12_00_teacher_explains_things_clearly_2_,My_11_00_12_00_teacher_answers_questions_well_2_,My_11_00_12_00_teacher_gives_students_chances_to_participate_in_class_2_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_2_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_2_,What_do_you_like_about_your_11_00_12_00_teacher_class_2_,What_changes_would_make_this_class_better_2_,My_Monday_Wednesday_afternoon_class__1_00___3_00_pm__is_3_,My_general_evaluation_of_my_teacher_is_3_,My_general_evaluation_of_this_course_is_3_,This_teacher_is_organized_and_prepared_3_,The_teacher_gives_interesting_activities_3_,This_teacher_explains_things_clearly_3_,This_teacher_answers_questions_well_3_,This_teacher_gives_students_chances_to_participate_in_class_3_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_3_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_3_,What_do_you_like_about_this_teacher_class_3_,What_changes_would_make_this_class_better_3_,My_current_Tuesday_Thursday_elective_is_4_,My_general_evaluation_of_this_teacher_is_4_,My_general_evaluation_of_this_course_is_4_,This_teacher_is_organized_and_prepared_4_,This_teacher_gives_interesting_activities_4_,This_teacher_explains_things_clearly_4_,This_teacher_answers_questions_well_4_,This_teacher_gives_students_chances_to_participate_in_class_4_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_4_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_4_,What_do_you_like_about_this_teacher_class_4_,What_changes_would_make_this_class_better_4_,My_current_Monday__Thursdayclass_is_5_,My_general_evaluation_of_this_teacher_is_5_,My_general_evaluation_of_this_course_is_5_,This_teacher_is_organized_and_prepared_5_,This_teacher_gives_interesting_activities_5_,This_teacher_explains_things_clearly_5_,This_teacher_answers_questions_well_5_,This_teacher_gives_students_chances_to_participate_in_class_5_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_5_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_5_,What_do_you_like_about_this_teacher_class_5_,What_changes_would_make_this_class_better_5_,_How_satisfied_are_you_with_the_AIEP_program_in_general__6__,_Since_enrolling_at_the_ALC__how_much_have_your_listening_skills_improved_6__,_Since_enrolling_at_the_ALC__how_much_have_your_speaking_skills_improved_6__,_Since_enrolling_at_the_ALC__how_much_have_your_grammar_skills_improved_6__,_Since_enrolling_at_the_ALC__how_much_has_your_knowledge_of_vocabulary_and_idioms_improved_6__,_Since_enrolling_at_the_ALC__how_much_has_your_knowledge_of_American_culture_improved_6__,_Since_enrolling_at_the_ALC__how_much_have_your_pronunciation_skills_improved_6__,How_satisfied_are_you_with_the_academic_counseling_6_,How_satisfied_are_you_with_the_academic_counseling_Comment_6_,How_satisfied_are_you_with_the_visa_counseling_office_6_,How_satisfied_are_you_with_the_visa_counseling_office_Comment_6_,How_satisfied_are_you_with_the_Lindbrook_office_staff_6_,How_satisfied_are_you_with_the_Lindbrook_office_staff_Comment_6_,_How_satisfied_are_you_with_help_from_the_main_ALC_office__applications__enrollment_housing_6__,_How_satisfied_are_you_with_help_from_the_main_ALC_office_applications__enrollment_housing_comment_6_,How_satisfied_are_you_withUSATours_6_,How_satisfied_are_you_withUSATours_comment_6_,_In_Los_Angeles__I_am_living_6__,_In_Los_Angeles__I_am_living_comment_6__,_In_my_opinion__my_housing_was_6__,_In_my_opinion__my_housing_was_comment_6__,Will_you_recommend_ALC_to_your_friends_6_,Will_you_recommend_ALC_to_your_friends_comment_6_,Quarter
0x011A7F786DFBB56AB100EB530AFE883AE438A412E37924DC29EA3B447F408B5BF03DD2ACABFC0BF1C078B4F07D5B944AF48FCC8181534AB7EC881C851EBF8FF20B,160024543,8/4/2017 8:44,8/4/2017 8:48,104.175.175.102,David Chrisman(104.2 Grammar/Writing),Very good,Very good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Shelley Reece (104.2 Reading & Discussion),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,Kyle Duncan(Public Speaking),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a textbook in this class),Somewhat satisfied,NULL,NULL,Fawzia Mohamed(104 TOEFL),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,A- a lot,B- some,A- a lot,A- a lot,B- some,B- some,A- very satisfied,NULL,A- very satisfied,NULL,E- did not use,NULL,E- did not use,NULL,E- did not use,NULL,with a homestay family,NULL,A- very good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x0196479F92D049A8A77253BE538D698BE1EFEE685229D6923F12AC8BE82DC7037B78D4088B9495CAF053E2B0F863358EEFF213C4947C9F2150AE47545CD1FD11F6,160024543,8/2/2017 19:04,8/2/2017 19:17,172.58.21.202,Micheal Thomas(407 Reading/Writing),Very good,Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a textbook in this class),Very satisfied,I really liked the discussions. I found them interesting.,More group activities would be better.,Kyle Duncan(407 Grammar Workshop),Very good,Very good,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,The teacher has a particular way to teach that makes it interesting and makes you participate a lot.,"nothing ",Kyle Duncan(Public Speaking),Very good,Very good,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a textbook in this class),Very satisfied,This class was so useful for me. I like the technic the teacher use to help us to speak in public.,"nothing ",Joan Stein (Academic Vocabulary),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,"The teacher has a lot of patience. Sometimes we would play games which were really entertaing and useful to practice the new vocabulary. ",absolutely nothing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,B- some,B- some,A- a lot,A- a lot,A- a lot,A- a lot,E- did not use,NULL,B- somewhat satisfied,They took a long time to answer questions about the visa.,A- very satisfied,NULL,A- very satisfied,NULL,E- did not use,NULL,"at a UCLA dormitory (Rieber Hall, Saxon Suites, etc.)",NULL,A- very good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x01C43B7063975DB80B07DE01E3488B32E54BD90B191C170FBF0F8F93A625A32FA7AE5896C285A8BCFFCF5CF0E4EBFE47D59B0B4C1D3B6E0D3A9BC070DB77A8CF40,160024543,8/2/2017 13:52,8/5/2017 0:17,131.179.60.212,Bella Anikst (101.1 Grammar/Writing),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,everything is good,no  it is all great,Scott Gist(101.1 Listening & Speaking),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,good,good,Claudine Simha(101.1 Reading/Discussion),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,all is good,it is great,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Summer_2017_B_Evaluations
0x0183AAAFA716754010192836CD1301A2F9349720E7EDC09535EE6090698368D466BA7DAA4E0E90BBEF9EF276F97EA448E241BFDC253E107A5A98EFE46647E57EE6,160024543,8/2/2017 11:10,8/2/2017 11:15,131.179.58.89,Micheal Thomas(407 Reading/Writing),Very good,Very good,I strongly agree,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,N/A (We did not use a textbook in this class),Very satisfied,NULL,NULL,Kyle Duncan(407 Grammar Workshop),Somewhat good,Somewhat good,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,I somewhat agree,Very satisfied,Somewhat satisfied,NULL,NULL,I have the same class everyday (TOEFL of IELTS),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Julie Norminton (105 IELTS),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,B,B- some,C- not much,B- some,B- some,B- some,C- not much,B- somewhat satisfied,I want you to have speaking workshop because I am not good at speaking.,B- somewhat satisfied,NULL,B- somewhat satisfied,NULL,B- somewhat satisfied,NULL,B- somewhat satisfied,NULL,"at a UCLA dormitory (Rieber Hall, Saxon Suites, etc.)",NULL,B- somewhat good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x0119C25C9AB450B60C2F9E6529A3EDB485423C5330A5EF9C7FBC6D2CC146F9AEF8F2E84B0F429A070737F11F3977401469C60CC6A2227E96CC1E8B8A7CB07BB2E1,160024543,8/2/2017 11:01,8/2/2017 12:29,131.179.60.171,Claudine Simha(102.1 Grammar/Writing),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Film and music,It's a nice grammar class!,David Chrisman(102.1 Listening & Speaking),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Can practice pronunciation,It's a nice class!,Tom Wilde(102.1 Reading/Discussion),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Story and presentation,All of the class are wonderful.,Gene Kavenoki(Current Events),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,A- a lot,A- a lot,B- some,A- a lot,B- some,A- a lot,A- very satisfied,NULL,A- very satisfied,NULL,B- somewhat satisfied,NULL,B- somewhat satisfied,NULL,B- somewhat satisfied,NULL,"at a UCLA dormitory (Rieber Hall, Saxon Suites, etc.)",NULL,A- very good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x01F73E877D22D4B6B69D69DDE160A961638FA5A007CCF8FB97DBDAD1039C30113AF581D059E4062ED512E61D910568BC46BB166F0B8E9D4C370FA12CAB9F4BDA2D,160024543,8/2/2017 10:45,8/2/2017 10:55,131.179.58.71,Joan Stein(103.1 Grammar/Writing),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I somewhat agree,Very satisfied,Very satisfied,I like 9:00-11:00 because the class are very clear and good organized,Nothing,Michael Daniels(103.1 Reading & Discussion),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,All,Nothing,Ben Goldberg(103.1 Listening & Speaking),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,All,Nothing,Joan Stein (Academic Vocabulary),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,All,Nothing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,A- a lot,A- a lot,A- a lot,A- a lot,A- a lot,A- a lot,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,with family/relatives,NULL,A- very good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x0177296CA3F84D9C18ED310B619ABFB87C2D2F6A1B45205249FB9B0424D5C9DB428E9D6AF0E5789E843E0CAE766AB17143F7A697C89EC81DA3B3481BCBDCC5C241,160024543,8/2/2017 10:28,8/2/2017 10:37,131.179.58.32,Lana Koyadinovich(103.2 Grammar/Writing),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Gene Kavenoki(103.2 Reading & Discussion),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I somewhat agree,Very satisfied,Very satisfied,NULL,NULL,Michael Daniels(103.2 Listening & Speaking),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Gene Kavenoki(Current Events),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,A- a lot,B- some,A- a lot,A- a lot,A- a lot,A- a lot,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,B- somewhat satisfied,NULL,"at a UCLA dormitory (Rieber Hall, Saxon Suites, etc.)",NULL,B- somewhat good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x017A1300077CBBFCD454010EFF0607AED8F806FC5B9F4E80BCD7D1046B5B6E129B1980222DEB9DDEC9D42E44F8FE649BB54297F37C7545BDF43C3122F3AFB7FE4B,160024543,8/2/2017 10:13,8/2/2017 10:21,172.58.21.107,Bella Anikst (101.1 Grammar/Writing),Very good,Very good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,Scott Gist(101.1 Listening & Speaking),Somewhat good,Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,Claudine Simha(101.1 Reading/Discussion),Very good,Very good,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,Joan Stein (Academic Vocabulary),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,C- not much,A- a lot,B- some,C- not much,A- a lot,A- a lot,B- somewhat satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,B- somewhat satisfied,NULL,B- somewhat satisfied,NULL,"at a UCLA dormitory (Rieber Hall, Saxon Suites, etc.)",NULL,B- somewhat good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x01B64243A7C85C2A1B805F5057192E67AE3AF7435F9731C029D33254A72BB871A7ABA0BB0BC1501AEBB40EB245342CE792945976391BEE3E4362FAABCDE3C2AF8E,160024543,7/29/2017 10:52,7/31/2017 1:42,24.43.151.246,Julie Norminton(405 Reading/Writing),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Eleanor Comegys (405 Grammar Workshop),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Gene Kavenoki (Business English),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Gene Kavenoki(Current Events),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B,B- some,B- some,B- some,B- some,A- a lot,C- not much,B- somewhat satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,E- did not use,NULL,at Universal Student Housing apartments (USH),NULL,C- good,NULL,Yes,NULL,AIEP_Summer_2017_B_Evaluations
0x01BAE480283CDBE052FB9680F69E271CE7B19ECC5CBFB35DD0A7649AE8A43CED826582187489C8B8910A818EF060B9E67447F2D0B5DA39DEE5013E0EF7D7C6E66A,214431379,8/2/2018 10:51,8/2/2018 11:09,190.236.3.10,Bella Anikst (101.1 Grammar/Writing),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,She is very organized.,"Less homework, it Is too much.",Darren Butts (101.1 Listening & Speaking),Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,He is very serious.,Nothing,I do not have a Monday/Wednesday elective,Very good,Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,She does not organization,She should not repeat the last classes.,I do not have a Tuesday/Thursday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B,B- some,B- some,B- some,B- some,B- some,B- some,B- somewhat satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,A- very satisfied,NULL,with a homestay family,NULL,A- very good,NULL,Yes,NULL,AIEP_Summer_2018_B_Evaluations
